bldg_id,in.building_america_climate_zone,in.state,in.heating_fuel,in.interior_lighting_generation,in.service_water_heating_fuel,in.comstock_building_type_group,in.vintage,in.sqft
1687,Mixed-Humid,AL,NaturalGas,gen2_t8_halogen,Electricity,Warehouse and Storage,2,150000.0
1693,Mixed-Humid,AL,NaturalGas,gen1_t12_incandescent,Electricity,Mercantile,5,75000.0
1713,Mixed-Humid,AL,Electricity,gen2_t8_halogen,NaturalGas,Mercantile,3,37500.0
1734,Mixed-Humid,AL,NaturalGas,gen1_t12_incandescent,NaturalGas,Mercantile,0,3000.0
1739,Mixed-Humid,AL,NaturalGas,gen4_led,NaturalGas,Warehouse and Storage,2,75000.0
1745,Mixed-Humid,AL,NaturalGas,gen2_t8_halogen,NaturalGas,Warehouse and Storage,3,75000.0
1750,Mixed-Humid,AL,DistrictHeating,gen2_t8_halogen,DistrictHeating,Office,3,17500.0
1784,Mixed-Humid,AL,Electricity,gen2_t8_halogen,Electricity,Warehouse and Storage,6,75000.0
1808,Mixed-Humid,AL,NaturalGas,gen2_t8_halogen,NaturalGas,Food Service,6,3000.0
1809,Mixed-Humid,AL,NaturalGas,gen2_t8_halogen,NaturalGas,Warehouse and Storage,2,37500.0
1822,Hot-Humid,AL,NaturalGas,gen2_t8_halogen,NaturalGas,Mercantile,3,37500.0
1853,Hot-Humid,AL,Electricity,gen2_t8_halogen,Electricity,Food Service,2,3000.0
1942,Hot-Humid,AL,Electricity,gen4_led,NaturalGas,Office,4,7500.0
1946,Mixed-Humid,AL,Propane,gen2_t8_halogen,Propane,Mercantile,2,17500.0
1964,Mixed-Humid,AL,NaturalGas,gen4_led,NaturalGas,Mercantile,2,17500.0
1967,Mixed-Humid,AL,Electricity,gen1_t12_incandescent,NaturalGas,Mercantile,3,17500.0
2022,Mixed-Humid,AL,DistrictHeating,gen2_t8_halogen,Electricity,Office,6,17500.0
2048,Mixed-Humid,AL,NaturalGas,gen4_led,Electricity,Warehouse and Storage,0,17500.0
2164,Hot-Humid,AL,Electricity,gen4_led,Electricity,Warehouse and Storage,2,37500.0
2192,Mixed-Humid,AL,NaturalGas,gen1_t12_incandescent,NaturalGas,Mercantile,3,3000.0
2231,Hot-Humid,AL,Propane,gen2_t8_halogen,Propane,Mercantile,5,7500.0
