bldg_id,in.building_america_climate_zone,in.state,in.heating_fuel,in.interior_lighting_generation,in.service_water_heating_fuel,in.comstock_building_type_group,in.vintage,in.sqft
30648,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,Electricity,Warehouse and Storage,0,3000.0
30666,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Office,4,3000.0
30677,Hot-Dry,CA,Electricity,gen3_t5_cfl,NaturalGas,Mercantile,2,3000.0
30703,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Warehouse and Storage,4,75000.0
30710,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,NaturalGas,Office,0,17500.0
30718,Marine,CA,NaturalGas,gen1_t12_incandescent,Electricity,Office,1,17500.0
30736,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Office,1,37500.0
30742,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,NaturalGas,Mercantile,4,37500.0
30748,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,NaturalGas,Mercantile,4,37500.0
30752,Hot-Dry,CA,Electricity,gen4_led,Electricity,Warehouse and Storage,1,1000.0
30754,Hot-Dry,CA,Electricity,gen3_t5_cfl,Electricity,Warehouse and Storage,7,37500.0
30787,Hot-Dry,CA,Electricity,gen4_led,Electricity,Warehouse and Storage,4,7500.0
30823,Hot-Dry,CA,NaturalGas,gen4_led,Electricity,Mercantile,2,37500.0
30824,Hot-Dry,CA,NaturalGas,gen3_t5_cfl,NaturalGas,Mercantile,2,37500.0
30825,Hot-Dry,CA,NaturalGas,gen4_led,Electricity,Office,1,7500.0
30835,Hot-Dry,CA,Electricity,gen4_led,Electricity,Warehouse and Storage,0,75000.0
30855,Marine,CA,Electricity,gen4_led,Electricity,Warehouse and Storage,6,75000.0
30867,Hot-Dry,CA,Electricity,gen3_t5_cfl,Electricity,Warehouse and Storage,6,75000.0
30874,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,NaturalGas,Office,2,750000.0
30890,Hot-Dry,CA,Electricity,gen4_led,Electricity,Warehouse and Storage,5,150000.0
30897,Hot-Dry,CA,Electricity,gen4_led,Electricity,Warehouse and Storage,3,37500.0
30925,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,NaturalGas,Warehouse and Storage,2,17500.0
30931,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,Electricity,Office,1,17500.0
30934,Hot-Dry,CA,Electricity,gen4_led,NaturalGas,Mercantile,1,17500.0
30971,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,Electricity,Mercantile,1,17500.0
30973,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,NaturalGas,Mercantile,1,37500.0
30991,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Office,5,7500.0
30995,Marine,CA,NaturalGas,gen1_t12_incandescent,NaturalGas,Lodging,6,17500.0
31010,Hot-Dry,CA,NaturalGas,gen4_led,Electricity,Office,1,3000.0
31019,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,NaturalGas,Mercantile,4,75000.0
31032,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Food Service,6,3000.0
31050,Hot-Dry,CA,NaturalGas,gen4_led,Electricity,Office,4,7500.0
31064,Marine,CA,Electricity,gen4_led,Electricity,Office,0,17500.0
31074,Hot-Dry,CA,Electricity,gen2_t8_halogen,NaturalGas,Lodging,3,37500.0
31083,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Mercantile,2,37500.0
31099,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,Electricity,Office,4,7500.0
31100,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Warehouse and Storage,4,37500.0
31101,Marine,CA,NaturalGas,gen2_t8_halogen,NaturalGas,Warehouse and Storage,4,17500.0
31104,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Mercantile,0,75000.0
31128,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,NaturalGas,Mercantile,0,3000.0
31132,Marine,CA,NaturalGas,gen4_led,Electricity,Mercantile,0,17500.0
31139,Hot-Dry,CA,NaturalGas,gen4_led,Electricity,Warehouse and Storage,3,75000.0
31141,Hot-Dry,CA,Electricity,gen4_led,Electricity,Warehouse and Storage,6,350000.0
31142,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Warehouse and Storage,3,37500.0
31194,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,Electricity,Mercantile,6,75000.0
31207,Marine,CA,NaturalGas,gen3_t5_cfl,NaturalGas,Warehouse and Storage,1,150000.0
31220,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Mercantile,3,17500.0
31225,Hot-Dry,CA,Electricity,gen4_led,Electricity,Warehouse and Storage,5,75000.0
31231,Hot-Dry,CA,NaturalGas,gen1_t12_incandescent,Electricity,Warehouse and Storage,3,1000.0
31236,Hot-Dry,CA,Electricity,gen4_led,NaturalGas,Warehouse and Storage,5,17500.0
31250,Hot-Dry,CA,NaturalGas,gen4_led,Electricity,Mercantile,0,7500.0
31268,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Food Service,4,17500.0
31270,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Mercantile,4,17500.0
31282,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Office,3,17500.0
31286,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,NaturalGas,Mercantile,4,17500.0
31291,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,NaturalGas,Mercantile,6,17500.0
31332,Marine,CA,NaturalGas,gen4_led,NaturalGas,Food Service,2,7500.0
31395,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Office,0,17500.0
31396,Hot-Dry,CA,Electricity,gen4_led,Electricity,Office,2,3000.0
31399,Hot-Dry,CA,NaturalGas,gen4_led,Electricity,Mercantile,0,17500.0
31403,Hot-Dry,CA,Electricity,gen4_led,Electricity,Warehouse and Storage,3,17500.0
31412,Marine,CA,NaturalGas,gen4_led,Electricity,Warehouse and Storage,1,3000.0
31413,Hot-Dry,CA,Electricity,gen4_led,Electricity,Office,0,7500.0
31417,Hot-Dry,CA,Electricity,gen2_t8_halogen,Electricity,Office,2,7500.0
31420,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Mercantile,1,75000.0
31421,Hot-Dry,CA,NaturalGas,gen4_led,Electricity,Office,0,7500.0
31422,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,Electricity,Office,1,3000.0
31441,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Warehouse and Storage,1,75000.0
31448,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,NaturalGas,Education,4,75000.0
31449,Hot-Dry,CA,Electricity,gen2_t8_halogen,Electricity,Warehouse and Storage,4,17500.0
31455,Hot-Dry,CA,NaturalGas,gen4_led,Electricity,Office,6,1000.0
31465,Marine,CA,Electricity,gen2_t8_halogen,Electricity,Warehouse and Storage,3,17500.0
31472,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,Electricity,Warehouse and Storage,2,37500.0
31485,Marine,CA,NaturalGas,gen2_t8_halogen,NaturalGas,Mercantile,1,3000.0
31499,Hot-Dry,CA,NaturalGas,gen1_t12_incandescent,NaturalGas,Food Service,0,7500.0
31505,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Mercantile,4,17500.0
31514,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Warehouse and Storage,3,37500.0
31515,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Office,1,150000.0
31550,Hot-Dry,CA,NaturalGas,gen3_t5_cfl,Electricity,Mercantile,1,75000.0
31573,Marine,CA,NaturalGas,gen3_t5_cfl,NaturalGas,Mercantile,1,17500.0
